Threshold_Factor,Detected_Cells,True_Cells,False_Alarm_Cells,False_Cells,Detection_Rate,False_Alarm_Rate
1.7000000000000002,373554,391135,162427,7849505,0.9550513249900929,0.02069264240229161
1.75,373202,391135,150348,7849505,0.9541513799583264,0.019153819253570768
1.8,373042,391135,139375,7849505,0.9537423140347961,0.01775589670941034
1.85,372978,391135,129907,7849505,0.9535786876653841,0.016549706000569462
1.9000000000000001,372914,391135,118852,7849505,0.953415061295972,0.015141336937806907
1.9500000000000002,372914,391135,107809,7849505,0.953415061295972,0.013734496633864174
2.0,372692,391135,100956,7849505,0.9528474823270737,0.012861447951176538
2.0500000000000003,369546,391135,94851,7849505,0.9448042236056604,0.012083691901591247
2.1,368056,391135,87967,7849505,0.9409947971927851,0.011206693925285735
2.15,367864,391135,82709,7849505,0.9405039180845488,0.010536842769066329
2.2,367800,391135,76909,7849505,0.9403402917151367,0.009797942672818222
2.25,366854,391135,72201,7849505,0.9379216894422642,0.00919815962917407
2.3000000000000003,366406,391135,67362,7849505,0.9367763048563795,0.008581687635080174
2.35,365205,391135,63224,7849505,0.9337057537678807,0.008054520635377645
2.4000000000000004,361922,391135,58108,7849505,0.9253122323494446,0.007402759791859487
2.45,359310,391135,54035,7849505,0.9186342311478134,0.00688387356909767
2.5,358219,391135,50930,7849505,0.9158449128817416,0.006488307224468294
2.5500000000000003,358123,391135,47981,7849505,0.9155994733276235,0.006112614744496627
2.6,358123,391135,45207,7849505,0.9155994733276235,0.005759216663980722
2.6500000000000004,356510,391135,43356,7849505,0.9114755774860342,0.005523405616022921
2.7,355704,391135,41299,7849505,0.9094149078962507,0.00526135087499148
2.75,354904,391135,39645,7849505,0.9073695782785994,0.005050636950992451
2.8000000000000003,354284,391135,38088,7849505,0.9057844478249197,0.00485228049412033
2.85,353404,391135,36650,7849505,0.9035345852455035,0.004669084228878127
2.9000000000000004,349164,391135,34881,7849505,0.8926943382719521,0.004443719699522454
2.95,347586,391135,33532,7849505,0.8886599256011352,0.00427186172886061
3.0,344535,391135,32322,7849505,0.8808595497718179,0.004117711881195057
3.0500000000000003,342449,391135,31151,7849505,0.8755263527937924,0.00396853049969393
3.1,340928,391135,29721,7849505,0.8716376698582331,0.0037863534069982755
3.1500000000000004,340928,391135,28682,7849505,0.8716376698582331,0.0036539883725152096
3.2,340444,391135,27643,7849505,0.8704002454395541,0.0035216233380321433
3.25,338987,391135,26705,7849505,0.8666751888734069,0.00340212535694926
3.3000000000000003,337871,391135,25415,7849505,0.8638219540567834,0.0032377837838182153
3.35,337559,391135,24549,7849505,0.8630242755058996,0.003127458355654274
3.4000000000000004,335109,391135,23738,7849505,0.8567604535518427,0.0030241397387478575
3.45,332524,391135,22618,7849505,0.8501514822248073,0.0028814555822309815
3.5,331973,391135,21928,7849505,0.8487427614506501,0.0027935519500911204
3.5500000000000003,327085,391135,21271,7849505,0.8362457974868013,0.0027098524047057745
3.6,326589,391135,20677,7849505,0.8349776931238575,0.0026341788431245025
3.6500000000000004,324919,391135,20100,7849505,0.8307080675470107,0.002560671023204648
3.7,322681,391135,19133,7849505,0.8249862579416314,0.002437478541640524
3.75,321751,391135,18542,7849505,0.8226085622611119,0.002362187169764208
3.8000000000000003,320999,391135,17650,7849505,0.8206859524205198,0.002248549430823982
3.85,319955,391135,17158,7849505,0.818016797269485,0.002185870319211211
3.9000000000000004,319895,391135,16685,7849505,0.8178633975481612,0.002125611742396495
3.95,311761,391135,16222,7849505,0.7970675086606926,0.002066627131264965
4.0,310962,391135,15844,7849505,0.7950247357050635,0.0020184712284405195
4.05,309320,391135,15012,7849505,0.7908266966648344,0.0019124772835994116
4.1000000000000005,306862,391135,14233,7849505,0.7845424214146011,0.0018132353568791918
4.15,306222,391135,13824,7849505,0.7829061577204801,0.0017611301604368683
4.2,303640,391135,13451,7849505,0.776304856379511,0.001713611240454016
4.25,301259,391135,13091,7849505,0.7702174441049765,0.0016677484758593059
4.3,299791,391135,12347,7849505,0.7664642642565866,0.0015729654290302382
4.3500000000000005,297930,391135,11643,7849505,0.7617063162335255,0.0014832782449339162
4.4,296504,391135,11324,7849505,0.7580605161900622,0.0014426387396402702
4.45,294897,391135,11021,7849505,0.7539519603206054,0.0014040375794397227
4.5,293470,391135,10761,7849505,0.75030360361512,0.0013709144716768764
4.55,46562,391135,9715,7849505,0.11904329707134366,0.0012376576612155798
4.6000000000000005,46562,391135,9438,7849505,0.11904329707134366,0.0012023688117913168
4.65,45329,391135,9149,7849505,0.11589093279813875,0.00116555120354723
4.7,44286,391135,8135,7849505,0.113224334309126,0.00103637108327213
4.75,44286,391135,7876,7849505,0.113224334309126,0.0010033753720776024
4.800000000000001,41316,391135,6519,7849505,0.10563104810359594,0.000830498228869209
4.8500000000000005,40932,391135,6263,7849505,0.10464928988712337,0.0007978847073796373
4.9,40064,391135,6034,7849505,0.10243010725197182,0.000768710893234669
4.95,38511,391135,5786,7849505,0.09845961113170644,0.0007371165442916464
5.0,37260,391135,5567,7849505,0.09526122694210439,0.0007092166958298645
5.050000000000001,34585,391135,5313,7849505,0.0884221560330832,0.0006768579674769301
5.1000000000000005,31263,391135,5048,7849505,0.07992892479578662,0.0006430978768724907
5.15,30519,391135,4796,7849505,0.078026768251371,0.0006109939416561936
5.2,29485,391135,4547,7849505,0.07538317972055684,0.0005792721961448525
5.25,28299,391135,4290,7849505,0.07235097856238895,0.0005465312780869622
5.300000000000001,28299,391135,4056,7849505,0.07235097856238895,0.0005167204811004006
5.3500000000000005,28299,391135,3820,7849505,0.07235097856238895,0.00048665489097720173
5.4,27417,391135,3602,7849505,0.0700960026589285,0.0004588824390837384
5.45,27417,391135,3368,7849505,0.0700960026589285,0.0004290716420971768
5.5,27417,391135,3133,7849505,0.0700960026589285,0.0003991334485422966
5.550000000000001,27417,391135,2937,7849505,0.0700960026589285,0.0003741637211518433
5.6000000000000005,25552,391135,2763,7849505,0.06532782798777916,0.0003519967182644001
5.65,25488,391135,2582,7849505,0.06516420161836706,0.0003289379393987264
5.7,24736,391135,2393,7849505,0.06324159177777494,0.00030485998798650363
5.75,24736,391135,2243,7849505,0.06324159177777494,0.00028575050273870774
5.800000000000001,24274,391135,2085,7849505,0.06206041392358137,0.00026562184494436275
