Threshold_Factor,Detected_Cells,True_Cells,False_Alarm_Cells,False_Cells,Detection_Rate,False_Alarm_Rate
1.9000000000000001,378942,391135,456731,7849505,0.9688266199649738,0.0581859620447404
1.9500000000000002,378592,391135,419306,7849505,0.9679317882572513,0.053418145475415325
2.0,378464,391135,390144,7849505,0.9676045355184272,0.04970300675010717
2.0500000000000003,377512,391135,366938,7849505,0.9651705932734223,0.04674664198570483
2.1,377096,391135,343467,7849505,0.9641070218722436,0.04375651713069805
2.15,376682,391135,324260,7849505,0.9630485637951091,0.04130961124300195
2.2,376586,391135,307762,7849505,0.962803124240991,0.039207822658881036
2.25,376522,391135,289370,7849505,0.9626394978715789,0.03686474497436463
2.3000000000000003,376362,391135,274155,7849505,0.9622304319480486,0.03492640618739653
2.35,376202,391135,259433,7849505,0.9618213660245184,0.03305087390860952
2.4000000000000004,375978,391135,247386,7849505,0.9612486737315761,0.03151612745007488
2.45,375978,391135,232336,7849505,0.9612486737315761,0.02959880909687936
2.5,375978,391135,218946,7849505,0.9612486737315761,0.027892969047092778
2.5500000000000003,375052,391135,208202,7849505,0.9588812046991448,0.02652422031707732
2.6,374828,391135,196416,7849505,0.9583085124062025,0.02502272436287384
2.6500000000000004,374636,391135,186798,7849505,0.9578176332979662,0.023797424168785164
2.7,374572,391135,177568,7849505,0.9576540069285541,0.022621553843204127
2.75,374572,391135,169518,7849505,0.9576540069285541,0.02159601146823908
2.8000000000000003,373772,391135,161138,7849505,0.9556086773109029,0.020528428225728885
2.85,372468,391135,154207,7849505,0.9522747900341314,0.019645442610712396
2.9000000000000004,372468,391135,147258,7849505,0.9522747900341314,0.01876016385746617
2.95,372468,391135,141322,7849505,0.9522747900341314,0.01800393782792673
3.0,372340,391135,135982,7849505,0.9519475372953072,0.017323640153105196
3.0500000000000003,372340,391135,130271,7849505,0.9519475372953072,0.01659607835143745
3.1,372340,391135,125775,7849505,0.9519475372953072,0.016023303380276844
3.1500000000000004,371604,391135,121370,7849505,0.9500658340470681,0.01546212149683324
3.2,371540,391135,116560,7849505,0.9499022076776561,0.014849344003220586
3.25,371540,391135,111883,7849505,0.9499022076776561,0.01425351025319431
3.3000000000000003,371540,391135,108043,7849505,0.9499022076776561,0.013764307430850735
3.35,370882,391135,105175,7849505,0.948219924067138,0.013398934072912878
3.4000000000000004,370786,391135,100906,7849505,0.9479744845130198,0.012855078122760608
