Threshold_Factor,Detected_Cells,True_Cells,False_Alarm_Cells,False_Cells,Detection_Rate,False_Alarm_Rate
3.0500000000000003,379992,391135,468254,7849505,0.9715111150881409,0.05965395270147608
3.1,379544,391135,451807,7849505,0.9703657305022563,0.057558661342339425
3.1500000000000004,379416,391135,435617,7849505,0.9700384777634321,0.05549611090126065
3.2,379160,391135,417631,7849505,0.9693839722857837,0.05320475622348161
3.25,379160,391135,404303,7849505,0.9693839722857837,0.05150681476093078
3.3000000000000003,378844,391135,391068,7849505,0.9685760670868114,0.04982072117923359
3.35,378492,391135,376369,7849505,0.9676761220550449,0.04794811902151792
3.4000000000000004,378492,391135,362230,7849505,0.9676761220550449,0.04614685894206068
3.45,378492,391135,346929,7849505,0.9676761220550449,0.04419756405021718
3.5,377252,391135,332487,7849505,0.9645058611476856,0.042357702810559394
3.5500000000000003,376804,391135,321181,7849505,0.9633604765618009,0.04091735720914886
3.6,376644,391135,310207,7849505,0.9629514106382707,0.03951930726842011
3.6500000000000004,376292,391135,300966,7849505,0.9620514656065041,0.03834203558058757
3.7,376292,391135,288630,7849505,0.9620514656065041,0.036770471513808835
3.75,376036,391135,277622,7849505,0.9613969601288558,0.035368090089757255
3.8000000000000003,376036,391135,269423,7849505,0.9613969601288558,0.03432356562611273
3.85,376036,391135,260684,7849505,0.9613969601288558,0.03321024701557614
3.9000000000000004,375908,391135,252827,7849505,0.9610697073900316,0.03220929217829659
3.95,375908,391135,244797,7849505,0.9610697073900316,0.03118629773469792
4.0,375844,391135,238459,7849505,0.9609060810206195,0.030378858284694384
4.05,375780,391135,232937,7849505,0.9607424546512073,0.02967537443443886
4.1000000000000005,374680,391135,223808,7849505,0.957930126426937,0.028512371162258004
4.15,374104,391135,217042,7849505,0.9564574891022282,0.02765040598101409
4.2,373822,391135,209171,7849505,0.9557365104120061,0.02664766759177808
4.25,373566,391135,203682,7849505,0.9550820049343577,0.02594838782827707
4.3,373342,391135,197643,7849505,0.9545093126414154,0.025179039952200808
4.3500000000000005,373342,391135,190988,7849505,0.9545093126414154,0.024331215790040262
4.4,373342,391135,186020,7849505,0.9545093126414154,0.023698309638633265
4.45,371948,391135,179127,7849505,0.9509453257826581,0.022820165093212885
4.5,371948,391135,170499,7849505,0.9509453257826581,0.021720987501759666
4.55,371852,391135,163079,7849505,0.9506998862285401,0.020775704964835363
4.6000000000000005,371852,391135,157248,7849505,0.9506998862285401,0.020032855574969376
4.65,370745,391135,152191,7849505,0.9478696613701152,0.01938861112898202
4.7,370745,391135,147250,7849505,0.9478696613701152,0.018759144684919623
4.75,370745,391135,142445,7849505,0.9478696613701152,0.01814700417414856
4.800000000000001,370745,391135,138807,7849505,0.9478696613701152,0.017683535458605352
4.8500000000000005,370617,391135,133804,7849505,0.947542408631291,0.0170461704273072
4.9,370203,391135,129813,7849505,0.9464839505541565,0.01653773072314751
4.95,370203,391135,126802,7849505,0.9464839505541565,0.01615413965594009
5.0,370203,391135,124235,7849505,0.9464839505541565,0.015827112665066142
5.050000000000001,370203,391135,121294,7849505,0.9464839505541565,0.015452439357641023
5.1000000000000005,370075,391135,118349,7849505,0.9461566978153323,0.015077256463942632
5.15,370011,391135,115175,7849505,0.9459930714459202,0.01467289975609927
5.2,370011,391135,111712,7849505,0.9459930714459202,0.014231725440011823
5.25,370011,391135,109781,7849505,0.9459930714459202,0.01398572266658853
5.300000000000001,370011,391135,107608,7849505,0.9459930714459202,0.013708889923632128
5.3500000000000005,368051,391135,105844,7849505,0.9409820138826748,0.013484162377118048
5.4,367861,391135,103418,7849505,0.9404962480984826,0.01317509830237703
5.45,367861,391135,101388,7849505,0.9404962480984826,0.012916483268690191
